date,consumo,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,surface_pressure,wind_speed_10m
2022-09-16 19:00:00+01:00,566.8,24.6325,63.045044,0.0,0.0,1.0,1005.5341,36.36
2022-09-16 20:00:00+01:00,620.69,23.2825,71.460754,0.0,0.0,1.0,1005.8919,33.847656
2022-09-16 21:00:00+01:00,645.74,22.4825,78.37865,0.0,0.0,1.0,1006.46344,29.899511
2022-09-16 22:00:00+01:00,558.25,22.1325,80.31646,0.0,0.0,0.0,1007.0483,26.661882
2022-09-16 23:00:00+01:00,532.7,21.682499,83.33069,0.0,0.0,0.0,1007.03534,26.649727
2022-09-17 00:00:00+01:00,507.43,21.182499,87.00193,0.0,0.0,0.0,1006.723,25.199999
2022-09-17 01:00:00+01:00,455.89,20.8825,87.24667,0.0,0.0,1.0,1006.3176,23.0653
2022-09-17 02:00:00+01:00,435.06,20.7325,87.78072,0.0,0.0,0.0,1005.8175,22.7057
2022-09-17 03:00:00+01:00,387.31,20.5325,89.14746,0.0,0.0,1.0,1005.2169,22.366402
2022-09-17 04:00:00+01:00,406.87,20.432499,89.699066,0.0,0.0,3.0,1004.91626,22.461807
2022-09-17 05:00:00+01:00,425.42,20.4825,89.42279,0.0,0.0,3.0,1004.71967,23.023119
2022-09-17 06:00:00+01:00,406.09000000000003,20.4825,89.42279,0.0,0.0,3.0,1004.6205,22.963936
2022-09-17 07:00:00+01:00,386.21999999999997,20.2325,91.66917,0.0,0.0,1.0,1004.7124,22.505037
2022-09-17 08:00:00+01:00,356.3,20.1325,92.52613,0.0,0.0,1.0,1004.80835,21.349546
2022-09-17 09:00:00+01:00,294.03999999999996,21.5325,83.05299,0.0,0.0,1.0,1005.3454,26.368616
2022-09-17 10:00:00+01:00,470.22999999999996,23.3825,70.80742,0.0,0.0,2.0,1005.6964,30.344814
2022-09-17 11:00:00+01:00,254.51,24.932499,59.42394,0.0,0.0,3.0,1005.6418,31.421213
2022-09-17 12:00:00+01:00,198.11,25.8825,55.805088,0.0,0.0,3.0,1005.47064,32.49785
2022-09-17 13:00:00+01:00,398.59000000000003,26.6325,52.375984,0.0,0.0,0.0,1004.89685,31.421213
2022-09-17 14:00:00+01:00,456.2,26.932499,50.482983,0.0,0.0,1.0,1004.4095,32.37999
2022-09-17 15:00:00+01:00,433.45,27.8825,49.14248,0.0,0.0,3.0,1003.64294,36.57501
2022-09-17 16:00:00+01:00,432.66999999999996,26.7325,55.660805,0.0,0.0,2.0,1003.21387,33.541878
2022-09-17 17:00:00+01:00,434.62,26.8825,55.521927,0.0,0.0,1.0,1002.92053,34.22841
2022-09-17 18:00:00+01:00,436.88,26.0325,59.493,0.0,0.0,3.0,1002.79736,31.99142
2022-09-17 19:00:00+01:00,556.52,25.1325,64.15729,0.0,0.0,1.0,1002.8711,27.897097
2022-09-17 20:00:00+01:00,539.95,23.8825,72.24522,0.0,0.0,1.0,1003.2321,20.929594
2022-09-17 21:00:00+01:00,536.81,23.2325,76.793175,0.0,0.0,1.0,1003.709,16.58346
2022-09-17 22:00:00+01:00,488.48,23.082499,76.291725,0.0,0.0,1.0,1004.2998,14.372974
2022-09-17 23:00:00+01:00,448.78,22.6325,77.91142,0.0,0.0,1.0,1004.48486,14.707222
2022-09-18 00:00:00+01:00,438.35,22.082499,83.636925,0.0,0.0,1.0,1004.0725,15.042659
2022-09-18 01:00:00+01:00,424.11,21.332499,86.744865,0.0,0.0,1.0,1003.55475,13.237039
2022-09-18 02:00:00+01:00,411.64,21.082499,90.02681,0.0,0.0,0.0,1003.25006,11.753877
2022-09-18 03:00:00+01:00,401.57,20.7325,92.55888,0.0,0.0,0.0,1002.84314,10.296251
2022-09-18 04:00:00+01:00,407.94,20.2825,95.45975,0.0,0.0,0.0,1002.4333,9.220499
2022-09-18 05:00:00+01:00,415.45,20.0325,96.646164,0.0,0.0,1.0,1002.22784,8.534353
2022-09-18 06:00:00+01:00,390.66999999999996,19.6325,98.15263,0.0,0.0,0.0,1002.2162,5.634891
2022-09-18 07:00:00+01:00,373.83000000000004,19.3825,99.070786,0.0,0.0,0.0,1002.60516,7.2805495
2022-09-18 08:00:00+01:00,428.03,19.332499,100.0,0.0,0.0,0.0,1003.0002,7.5685663
2022-09-18 09:00:00+01:00,415.07,20.8825,93.722694,0.0,0.0,0.0,1003.6407,8.287822
2022-09-18 10:00:00+01:00,418.05,22.9825,80.680016,0.0,0.0,1.0,1004.2967,12.904882
2022-09-18 11:00:00+01:00,462.77,24.182499,72.29847,0.3,0.3,51.0,1004.62885,16.434305
2022-09-18 12:00:00+01:00,472.89,25.082499,67.87205,0.5,0.5,53.0,1004.75385,17.727943
2022-09-18 13:00:00+01:00,460.98,25.682499,65.698616,0.4,0.4,51.0,1004.7708,22.79684
2022-09-18 14:00:00+01:00,448.87,25.7325,65.29969,0.2,0.2,51.0,1004.27637,24.144167
2022-09-18 15:00:00+01:00,334.15,26.3825,63.42816,0.1,0.1,51.0,1003.7991,24.269983
2022-09-18 16:00:00+01:00,461.28,26.4825,62.66248,0.0,0.0,0.0,1003.70276,25.417631
2022-09-18 17:00:00+01:00,473.40999999999997,25.932499,65.137985,0.0,0.0,0.0,1003.48865,25.277023
2022-09-18 18:00:00+01:00,471.98,25.182499,68.31714,0.0,0.0,0.0,1003.5667,23.266697
2022-09-18 19:00:00+01:00,589.09,24.2325,73.67245,0.0,0.0,0.0,1003.5396,21.566975
2022-09-18 20:00:00+01:00,603.7,22.8825,83.986824,0.0,0.0,0.0,1003.7981,18.792551
2022-09-18 21:00:00+01:00,532.24,22.2325,89.5548,0.0,0.0,0.0,1004.275,14.118243
2022-09-18 22:00:00+01:00,367.19,21.932499,91.77151,0.0,0.0,0.0,1004.8613,9.0
2022-09-18 23:00:00+01:00,477.17,21.4825,94.62157,0.0,0.0,0.0,1005.14557,6.519877
2022-09-19 00:00:00+01:00,508.44,21.0325,96.96968,0.0,0.0,0.0,1005.13226,5.8048253
2022-09-19 01:00:00+01:00,485.3,20.5325,98.77342,0.0,0.0,0.0,1005.2169,4.896529
2022-09-19 02:00:00+01:00,447.43,20.4825,99.69199,0.0,0.0,0.0,1004.9179,4.3349743
2022-09-19 03:00:00+01:00,430.41,20.0325,100.0,0.0,0.0,3.0,1004.50806,4.198285
2022-09-19 04:00:00+01:00,404.99,19.832499,99.69049,0.0,0.0,3.0,1004.2047,5.1919937
2022-09-19 05:00:00+01:00,417.6,19.582499,99.6899,0.0,0.0,3.0,1004.1975,5.154415
2022-09-19 06:00:00+01:00,391.01,19.5325,99.68976,0.0,0.0,3.0,1004.1958,5.8603754
2022-09-19 07:00:00+01:00,383.84000000000003,19.682499,99.38107,0.0,0.0,3.0,1004.59686,6.3690495
2022-09-19 08:00:00+01:00,412.36,19.682499,99.0729,0.0,0.0,3.0,1005.1918,5.8048253
2022-09-19 09:00:00+01:00,406.09000000000003,20.0325,96.0471,0.0,0.0,3.0,1005.79694,5.8603754
2022-09-19 10:00:00+01:00,467.53999999999996,20.9825,89.18249,0.0,0.0,3.0,1006.6181,6.439876
2022-09-19 11:00:00+01:00,519.5699999999999,22.4825,79.11774,0.0,0.0,1.0,1007.2567,6.12
2022-09-19 12:00:00+01:00,419.0,24.082499,70.936844,0.0,0.0,0.0,1007.5014,2.4149535
2022-09-19 13:00:00+01:00,320.65999999999997,25.5325,64.24328,0.0,0.0,0.0,1007.4437,4.0249224
2022-09-19 14:00:00+01:00,303.03,27.0325,56.97823,0.0,0.0,0.0,1006.5939,6.638072
2022-09-19 15:00:00+01:00,289.66,27.9825,51.89412,0.0,0.0,0.0,1005.72797,7.9932966
2022-09-19 16:00:00+01:00,276.4,28.6325,49.027958,0.0,0.0,1.0,1005.4488,9.449572
2022-09-19 17:00:00+01:00,346.05,28.682499,48.73115,0.0,0.0,2.0,1005.2518,12.475961
2022-09-19 18:00:00+01:00,516.88,27.5325,52.439598,0.0,0.0,0.0,1005.21954,18.504139
2022-09-19 19:00:00+01:00,629.38,25.5325,61.089584,0.0,0.0,0.0,1005.5597,21.67487
2022-09-19 20:00:00+01:00,639.4300000000001,23.4825,72.8564,0.0,0.0,0.0,1005.501,23.000591
2022-09-19 21:00:00+01:00,626.12,22.7325,81.403625,0.0,0.0,0.0,1006.27246,18.486622
2022-09-19 22:00:00+01:00,581.94,22.332499,84.71136,0.0,0.0,0.0,1007.05426,15.188415
2022-09-19 23:00:00+01:00,538.69,21.832499,87.60378,0.0,0.0,0.0,1007.33716,15.484185
2022-09-20 00:00:00+01:00,452.37,21.7325,88.140495,0.0,0.0,0.0,1007.13574,14.561099
2022-09-20 01:00:00+01:00,431.15999999999997,21.182499,89.47591,0.0,0.0,0.0,1006.92126,13.37825
2022-09-20 02:00:00+01:00,430.96999999999997,20.8825,90.85699,0.0,0.0,0.0,1006.5159,13.044722
2022-09-20 03:00:00+01:00,459.0,20.432499,93.993706,0.0,0.0,0.0,1006.20514,11.592894
2022-09-20 04:00:00+01:00,474.73,20.0325,95.74878,0.0,0.0,0.0,1005.99524,10.464797
2022-09-20 05:00:00+01:00,478.87,19.682499,96.03678,0.0,0.0,0.0,1005.78656,10.685391
2022-09-20 06:00:00+01:00,449.72999999999996,19.2825,96.32565,0.0,0.0,0.0,1005.67566,11.019764
2022-09-20 07:00:00+01:00,466.84,18.9825,96.01595,0.0,0.0,0.0,1005.6669,11.681987
2022-09-20 08:00:00+01:00,510.46000000000004,18.7825,94.81073,0.0,0.0,0.0,1005.8591,11.681987
2022-09-20 09:00:00+01:00,523.05,19.9825,86.89072,0.0,0.0,0.0,1006.5885,10.514218
2022-09-20 10:00:00+01:00,549.03,22.2325,74.496574,0.0,0.0,0.0,1007.15027,11.808878
2022-09-20 11:00:00+01:00,555.2,25.082499,60.218777,0.0,0.0,0.0,1007.6294,12.261157
2022-09-20 12:00:00+01:00,555.45,27.7825,47.116875,0.0,0.0,0.0,1007.50757,12.768586
2022-09-20 13:00:00+01:00,537.2,28.8825,42.252384,0.0,0.0,0.0,1007.53815,11.792404
2022-09-20 14:00:00+01:00,521.27,30.1325,37.33248,0.0,0.0,0.0,1006.68036,8.39657
2022-09-20 15:00:00+01:00,493.94,31.182499,33.59266,0.0,0.0,0.0,1005.81665,7.289444
2022-09-20 16:00:00+01:00,495.91,31.8825,31.041456,0.0,0.0,0.0,1005.14166,12.605142
2022-09-20 17:00:00+01:00,497.75,31.182499,37.502728,0.0,0.0,0.0,1004.7257,22.380884
2022-09-20 18:00:00+01:00,538.76,29.932499,40.93619,0.0,0.0,0.0,1004.8897,28.528723
2022-09-20 19:00:00+01:00,616.3299999999999,28.832499,43.61958,0.0,0.0,0.0,1005.0578,30.259275
