date,consumo,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,precipitation_sum,wind_speed_10m_max
2022-11-02 00:00:00+01:00,8631.12,1.0,23.576254,32.932503,16.4825,39938.816,0.0,22.35481
2022-11-03 00:00:00+01:00,7512.63,3.0,21.81375,30.082499,16.4825,39856.586,0.0,26.427528
2022-11-04 00:00:00+01:00,8934.86,3.0,21.324167,28.2825,17.332499,39774.867,0.0,27.276978
2022-11-05 00:00:00+01:00,6273.96,3.0,21.086666,27.832499,16.832499,39693.742,0.0,23.510508
2022-11-06 00:00:00+01:00,7255.38,3.0,21.678331,29.832499,17.4825,39613.3,0.0,22.870626
2022-11-07 00:00:00+01:00,9522.8,3.0,22.032501,32.732502,15.382501,39533.633,0.0,22.932877
2022-11-08 00:00:00+01:00,9500.62,0.0,22.13875,31.7325,15.5325,39454.824,0.0,24.482647
2022-11-09 00:00:00+01:00,10246.62,3.0,20.792917,29.2325,16.1325,39376.97,0.0,27.852928
2022-11-10 00:00:00+01:00,8978.54,3.0,20.6825,28.7325,15.5325,39300.156,0.0,24.458813
2022-11-11 00:00:00+01:00,8836.63,3.0,22.009583,32.432503,14.8325,39224.484,0.0,21.382906
2022-11-12 00:00:00+01:00,8406.56,3.0,25.724167,33.182503,19.682499,39150.047,0.0,24.248613
2022-11-13 00:00:00+01:00,8549.06,3.0,26.117912,32.5825,20.932499,39076.945,0.0,30.85307
2022-11-14 00:00:00+01:00,9573.7,3.0,24.0575,31.0325,18.182499,39005.273,0.0,22.033648
2022-11-15 00:00:00+01:00,9543.08,0.0,24.21583,32.2825,19.082499,38935.13,0.0,23.686249
2022-11-16 00:00:00+01:00,10163.79,0.0,23.67,31.7325,17.8825,38866.617,0.0,18.626305
2022-11-17 00:00:00+01:00,7763.91,3.0,21.545,29.5325,15.0825,38799.84,0.0,21.647945
2022-11-18 00:00:00+01:00,8648.22,3.0,20.455418,25.832499,16.932499,38734.895,0.0,33.190357
2022-11-19 00:00:00+01:00,9904.289999999999,3.0,20.059584,23.332499,17.432499,38671.793,0.0,48.46648
2022-11-20 00:00:00+01:00,7667.31,0.0,20.117916,25.682499,16.682499,38609.84,0.0,34.651752
2022-11-21 00:00:00+01:00,8334.42,0.0,19.52625,26.832499,14.9325,38548.957,0.0,26.434887
2022-11-22 00:00:00+01:00,9223.49,1.0,19.088753,24.4825,15.882501,38489.23,0.0,29.035288
2022-11-23 00:00:00+01:00,9838.82,3.0,19.9825,25.332499,16.682499,38430.727,0.0,23.759998
2022-11-24 00:00:00+01:00,7704.93,3.0,19.953333,27.1325,14.9825,38373.52,0.0,19.829433
2022-11-25 00:00:00+01:00,7727.92,2.0,19.522081,28.582499,13.2825,38317.7,0.0,23.664352
2022-11-26 00:00:00+01:00,9086.04,2.0,20.242918,29.932499,13.6825,38263.336,0.0,22.862123
2022-11-27 00:00:00+01:00,9910.42,0.0,21.305414,30.2325,15.6825,38210.504,0.0,31.534437
2022-11-28 00:00:00+01:00,11240.5,3.0,20.197084,26.832499,15.3325,38159.293,0.0,27.0
2022-11-29 00:00:00+01:00,7203.78,3.0,18.330416,25.0325,14.5825,38109.78,0.0,25.14852
2022-11-30 00:00:00+01:00,10454.41,3.0,17.976252,24.682499,14.3325,38062.04,0.0,23.749088
2022-12-01 00:00:00+01:00,7554.79,1.0,17.061668,22.2325,12.9325,38016.16,0.0,22.565422
2022-12-02 00:00:00+01:00,9530.34,51.0,18.020002,22.2325,14.9825,37972.22,0.4,20.111729
2022-12-03 00:00:00+01:00,8572.52,51.0,17.9825,22.2825,14.7825,37930.297,0.3,15.2947035
2022-12-04 00:00:00+01:00,8548.43,3.0,17.757502,23.682499,13.5325,37890.484,0.0,21.407139
2022-12-05 00:00:00+01:00,7339.65,3.0,19.192919,24.182499,15.882501,37852.85,0.0,25.49908
2022-12-06 00:00:00+01:00,9689.44,3.0,18.355417,23.9825,15.2825,37817.484,0.0,13.237039
2022-12-07 00:00:00+01:00,8219.4,3.0,17.405416,24.2325,11.2825,37784.477,0.0,16.954432
2022-12-08 00:00:00+01:00,8711.04,61.0,20.013748,23.3825,16.9825,37753.895,3.1,23.441502
2022-12-09 00:00:00+01:00,9201.37,63.0,20.63875,23.5325,18.432499,37725.766,3.6,24.312662
2022-12-10 00:00:00+01:00,7799.13,3.0,19.995,25.932499,16.332499,37699.742,0.0,14.693999
2022-12-11 00:00:00+01:00,8318.55,3.0,20.361668,25.9825,16.832499,37675.766,0.0,15.077082
2022-12-12 00:00:00+01:00,8844.76,0.0,20.747086,28.2325,15.2325,37653.85,0.0,18.03237
2022-12-13 00:00:00+01:00,9297.05,3.0,21.436668,29.6325,16.2825,37634.023,0.0,14.386494
2022-12-14 00:00:00+01:00,10117.98,1.0,21.130417,27.5325,16.8825,37616.31,0.0,24.675106
2022-12-15 00:00:00+01:00,7750.82,2.0,18.963749,22.7825,14.9325,37600.71,0.0,20.466246
2022-12-16 00:00:00+01:00,8564.57,3.0,19.234583,23.0325,16.332499,37587.258,0.0,20.696087
2022-12-17 00:00:00+01:00,7927.35,2.0,18.355417,23.5325,13.4825,37575.97,0.0,19.296135
2022-12-18 00:00:00+01:00,7341.59,0.0,18.6075,25.932499,13.132501,37566.848,0.0,17.581125
2022-12-19 00:00:00+01:00,6927.58,0.0,20.119997,27.082499,14.9825,37559.92,0.0,25.683926
2022-12-20 00:00:00+01:00,7033.18,3.0,19.330416,24.582499,13.9325,37555.2,0.0,25.12016
2022-12-21 00:00:00+01:00,8547.19,0.0,19.38875,26.332499,13.7325,37552.703,0.0,25.762016
2022-12-22 00:00:00+01:00,8387.49,0.0,19.355417,26.182499,12.9325,37552.44,0.0,22.915916
2022-12-23 00:00:00+01:00,8853.42,0.0,18.795,26.2825,12.4325,37554.42,0.0,19.61587
2022-12-24 00:00:00+01:00,8672.14,0.0,18.82625,26.182499,12.4825,37558.66,0.0,16.595179
2022-12-25 00:00:00+01:00,7981.36,3.0,18.103333,26.082499,12.382501,37565.17,0.0,19.110542
2022-12-26 00:00:00+01:00,8259.16,1.0,19.811666,27.0325,13.7325,37573.96,0.0,37.038036
2022-12-27 00:00:00+01:00,8872.25,55.0,20.090834,25.7325,16.432499,37585.035,3.7,41.835964
2022-12-28 00:00:00+01:00,8420.52,61.0,19.9825,23.832499,15.632501,37598.406,4.0,38.329433
2022-12-29 00:00:00+01:00,8887.7,51.0,19.749166,23.5325,16.832499,37614.11,0.1,28.512817
2022-12-30 00:00:00+01:00,8191.63,53.0,18.784582,23.3825,15.2325,37632.312,1.6999999,23.587555
2022-12-31 00:00:00+01:00,8737.58,3.0,19.234585,24.582499,15.2825,37653.004,0.0,28.373846
2023-01-01 00:00:00+01:00,8735.0,3.0,17.674168,23.2825,13.0325,37676.113,0.0,23.47741
2023-01-02 00:00:00+01:00,8254.01,0.0,17.140833,23.9825,11.7825,37701.586,0.0,20.60823
2023-01-03 00:00:00+01:00,9379.27,3.0,18.519999,25.5325,12.9325,37729.363,0.0,25.1614
2023-01-04 00:00:00+01:00,9637.83,0.0,18.634583,24.8825,13.2825,37759.37,0.0,24.248611
2023-01-05 00:00:00+01:00,10209.58,0.0,17.678333,23.932499,12.1825,37791.562,0.0,22.565422
2023-01-06 00:00:00+01:00,9361.92,0.0,16.73667,23.4825,10.6825,37825.86,0.0,21.897945
2023-01-07 00:00:00+01:00,8814.57,0.0,16.576254,23.9825,10.382501,37862.21,0.0,23.828083
2023-01-08 00:00:00+01:00,9198.84,0.0,16.374166,23.9825,10.4325,37900.547,0.0,26.427528
2023-01-09 00:00:00+01:00,7349.99,3.0,16.786667,23.832499,10.9325,37940.81,0.0,25.233404
2023-01-10 00:00:00+01:00,9810.48,51.0,17.909584,22.2825,14.0325,37982.934,0.4,23.000591
2023-01-11 00:00:00+01:00,8936.24,53.0,18.230417,22.582499,14.4825,38026.848,0.90000004,22.961115
2023-01-12 00:00:00+01:00,7498.06,0.0,18.128334,23.3825,14.7825,38072.504,0.0,27.345785
2023-01-13 00:00:00+01:00,8170.28,2.0,18.176252,24.2825,14.132501,38119.824,0.0,22.322903
2023-01-14 00:00:00+01:00,8636.46,0.0,18.492918,26.332499,12.0825,38168.758,0.0,25.488914
2023-01-15 00:00:00+01:00,7281.74,0.0,18.13875,25.5325,11.9325,38219.24,0.0,27.504093
2023-01-16 00:00:00+01:00,6072.6,0.0,17.324167,23.1325,13.5325,38271.2,0.0,27.026386
2023-01-17 00:00:00+01:00,8530.35,1.0,16.06792,21.7325,11.7325,38324.59,0.0,27.362366
2023-01-18 00:00:00+01:00,8572.71,51.0,16.367916,20.7825,13.132501,38379.434,0.2,30.926489
2023-01-19 00:00:00+01:00,7602.79,2.0,16.724169,20.2325,14.2825,38436.344,0.0,39.061245
2023-01-20 00:00:00+01:00,8593.77,0.0,16.57,23.582499,11.2325,38495.344,0.0,33.00436
2023-01-21 00:00:00+01:00,9246.55,0.0,16.059584,21.932499,11.6825,38556.332,0.0,30.21642
2023-01-22 00:00:00+01:00,5817.81,3.0,17.045002,22.2825,13.382501,38619.21,0.0,30.589407
2023-01-23 00:00:00+01:00,7777.74,3.0,16.684584,21.7325,12.4825,38683.867,0.0,26.654589
2023-01-24 00:00:00+01:00,8377.4,3.0,15.770001,21.6325,11.6825,38750.21,0.0,27.698954
2023-01-25 00:00:00+01:00,7573.71,1.0,14.607501,20.2325,10.2825,38818.133,0.0,34.30594
2023-01-26 00:00:00+01:00,8297.91,3.0,14.645,19.332499,10.4325,38887.54,0.0,35.844864
2023-01-27 00:00:00+01:00,8140.17,51.0,14.209584,20.932499,8.6825,38958.336,0.1,31.780067
2023-01-28 00:00:00+01:00,7695.16,3.0,15.767918,19.6325,12.3325,39030.426,0.0,31.353085
2023-01-29 00:00:00+01:00,3938.55,51.0,14.9574995,20.332499,10.9825,39103.703,0.1,27.466372
2023-01-30 00:00:00+01:00,7808.73,3.0,14.384583,20.832499,9.632501,39178.086,0.0,28.449112
2023-01-31 00:00:00+01:00,7800.81,3.0,15.111667,21.582499,10.2825,39253.48,0.0,24.703976
2023-02-01 00:00:00+01:00,9893.14,0.0,14.763751,21.7325,8.6825,39329.793,0.0,26.302181
2023-02-02 00:00:00+01:00,9481.47,3.0,15.953335,22.4825,10.0825,39406.938,0.0,23.166218
2023-02-03 00:00:00+01:00,8615.83,3.0,15.836666,22.7825,10.2325,39484.824,0.0,26.121714
2023-02-04 00:00:00+01:00,8974.89,0.0,15.061667,21.9825,8.8325,39563.367,0.0,20.929596
2023-02-05 00:00:00+01:00,6386.33,2.0,15.311668,22.1325,8.7325,39642.484,0.0,28.48326
2023-02-06 00:00:00+01:00,9100.2,2.0,15.180419,21.332499,10.4325,39722.082,0.0,31.559086
2023-02-07 00:00:00+01:00,8744.07,1.0,14.395,20.182499,8.9325,39802.21,0.0,23.686249
2023-02-08 00:00:00+01:00,9805.39,3.0,14.66375,20.832499,9.1825,39883.625,0.0,21.175837
2023-02-09 00:00:00+01:00,6649.73,3.0,15.620002,21.1325,10.4325,39966.406,0.0,15.827721
2023-02-10 00:00:00+01:00,7035.84,61.0,16.565836,19.8825,14.0825,40050.453,8.3,35.98559
2023-02-11 00:00:00+01:00,10027.96,3.0,15.947083,21.932499,10.9825,40135.668,0.0,26.31942
2023-02-12 00:00:00+01:00,7945.83,3.0,17.245,23.832499,12.132501,40221.965,0.0,30.319181
2023-02-13 00:00:00+01:00,7911.73,3.0,18.905416,23.682499,15.4825,40309.242,0.0,30.817343
2023-02-14 00:00:00+01:00,8756.23,3.0,17.565836,22.4825,14.0325,40397.41,0.0,33.48774
2023-02-15 00:00:00+01:00,6693.11,3.0,15.063748,20.7325,11.3325,40486.38,0.0,33.00436
2023-02-16 00:00:00+01:00,7020.86,1.0,13.445001,19.082499,8.9325,40576.07,0.0,27.645092
2023-02-17 00:00:00+01:00,9673.82,1.0,14.530417,20.332499,8.5825,40666.387,0.0,18.947083
2023-02-18 00:00:00+01:00,9058.9,0.0,15.995002,21.8825,10.3325,40757.25,0.0,21.933426
2023-02-19 00:00:00+01:00,8890.05,0.0,16.24917,22.832499,10.9325,40848.566,0.0,25.44566
2023-02-20 00:00:00+01:00,6840.53,3.0,15.899169,23.5325,11.2825,40940.26,0.0,21.94524
2023-02-21 00:00:00+01:00,9943.3,3.0,15.851251,21.5325,11.5325,41032.254,0.0,19.33639
2023-02-22 00:00:00+01:00,7433.0,3.0,17.122086,23.932499,13.5325,41124.457,0.0,34.139313
2023-02-23 00:00:00+01:00,8289.96,51.0,16.882502,21.0325,14.1825,41216.793,0.6,29.204409
2023-02-24 00:00:00+01:00,7117.19,2.0,16.134584,20.432499,12.4825,41309.184,0.0,25.772078
2023-02-25 00:00:00+01:00,8373.62,3.0,15.61375,20.9825,11.4825,41401.555,0.0,20.390114
2023-02-26 00:00:00+01:00,9209.57,3.0,16.103333,21.7825,9.9325,41493.83,0.0,22.881958
2023-02-27 00:00:00+01:00,9278.48,3.0,17.755415,23.5325,13.632501,41586.03,0.0,29.723444
2023-02-28 00:00:00+01:00,8476.71,51.0,18.005417,24.082499,13.4825,41678.93,0.2,32.919827
2023-03-01 00:00:00+01:00,8781.08,51.0,18.195002,23.5325,14.9825,41772.59,0.1,29.175552
2023-03-02 00:00:00+01:00,9843.46,3.0,17.65125,23.9825,12.7825,41866.957,0.0,28.385262
2023-03-03 00:00:00+01:00,9375.76,51.0,18.563753,24.1325,14.132501,41961.94,0.1,26.009842
2023-03-04 00:00:00+01:00,10651.75,3.0,17.48667,24.2825,12.4325,42057.48,0.0,27.086262
2023-03-05 00:00:00+01:00,8206.43,0.0,17.6075,24.9825,12.0825,42153.496,0.0,25.40743
2023-03-06 00:00:00+01:00,7235.86,3.0,17.649168,25.6325,12.382501,42249.918,0.0,28.220417
2023-03-07 00:00:00+01:00,8250.64,3.0,18.428333,26.2825,13.0325,42346.68,0.0,24.693481
2023-03-08 00:00:00+01:00,7490.8,3.0,19.128332,27.332499,14.6825,42443.707,0.0,26.932714
2023-03-09 00:00:00+01:00,9026.62,3.0,19.32,25.7325,15.0325,42540.94,0.0,36.233246
2023-03-10 00:00:00+01:00,8407.93,0.0,20.265837,29.2325,15.132501,42638.297,0.0,25.862436
2023-03-11 00:00:00+01:00,10075.4,3.0,22.040834,34.8325,14.7325,42735.715,0.0,27.908709
2023-03-12 00:00:00+01:00,6614.9,0.0,24.822084,36.232502,16.832499,42833.13,0.0,29.275326
2023-03-13 00:00:00+01:00,7154.14,3.0,21.17625,30.6325,14.2325,42930.473,0.0,33.497414
2023-03-14 00:00:00+01:00,8335.71,3.0,19.76375,28.582499,14.132501,43027.668,0.0,31.404713
2023-03-15 00:00:00+01:00,9665.39,3.0,20.095,29.7325,14.6825,43124.656,0.0,27.25559
2023-03-16 00:00:00+01:00,8035.72,3.0,19.638752,27.7825,13.9825,43221.367,0.0,36.061146
2023-03-17 00:00:00+01:00,7901.78,3.0,19.001251,24.8825,14.8325,43317.734,0.0,38.383495
2023-03-18 00:00:00+01:00,8774.57,3.0,17.917915,22.932499,14.0325,43413.69,0.0,39.622902
2023-03-19 00:00:00+01:00,8417.54,3.0,18.159582,23.0325,14.5325,43509.277,0.0,37.462494
2023-04-24 00:00:00+01:00,5965.95,3.0,20.155415,27.0325,15.382501,46887.023,0.0,25.140787
2023-04-25 00:00:00+01:00,5898.04,3.0,20.957502,27.932499,17.082499,46972.938,0.0,20.633371
2023-04-26 00:00:00+01:00,6541.41,3.0,22.71167,32.1325,16.2325,47057.82,0.0,31.205997
2023-04-27 00:00:00+01:00,9244.7,3.0,21.526247,28.2325,16.4825,47141.586,0.0,23.708124
2023-04-28 00:00:00+01:00,10779.83,3.0,21.640833,29.9825,16.2825,47224.254,0.0,29.250967
2023-04-29 00:00:00+01:00,9746.14,2.0,22.495,31.832499,16.3825,47306.44,0.0,32.217484
2023-04-30 00:00:00+01:00,7491.67,3.0,23.680414,32.8325,17.332499,47388.223,0.0,33.81126
2023-05-01 00:00:00+01:00,8090.9,0.0,23.02625,31.932499,16.2825,47469.527,0.0,31.534437
2023-05-02 00:00:00+01:00,7609.17,3.0,22.140837,33.232502,15.0325,47550.293,0.0,31.205997
2023-05-03 00:00:00+01:00,9312.33,1.0,23.074167,30.4825,16.082499,47630.45,0.0,30.009838
2023-05-04 00:00:00+01:00,10794.27,3.0,22.38875,27.8825,18.4825,47709.926,0.0,32.058193
2023-05-05 00:00:00+01:00,7071.51,3.0,21.072084,25.832499,17.4825,47788.652,0.0,36.102455
2023-05-06 00:00:00+01:00,7900.64,3.0,21.124166,26.0325,17.2825,47866.562,0.0,40.310356
2023-05-07 00:00:00+01:00,8965.13,51.0,21.332499,26.082499,17.582499,47943.574,0.1,38.761486
2023-05-08 00:00:00+01:00,7629.03,3.0,21.386665,27.3825,17.2325,48019.625,0.0,35.1862
2023-05-09 00:00:00+01:00,9146.96,0.0,23.724165,33.932503,17.082499,48094.625,0.0,30.302078
2023-05-10 00:00:00+01:00,7504.05,0.0,23.703333,32.8825,16.932499,48168.508,0.0,28.739187
2023-05-11 00:00:00+01:00,7111.3,3.0,22.495,30.5325,17.4825,48241.2,0.0,35.90808
2023-05-12 00:00:00+01:00,8760.68,3.0,21.205418,28.2825,16.1325,48312.613,0.0,37.029285
2023-05-13 00:00:00+01:00,10068.95,3.0,20.644999,26.2825,16.7825,48382.668,0.0,37.585102
2023-05-14 00:00:00+01:00,8376.36,3.0,20.38875,26.5325,15.4825,48451.29,0.0,34.145008
2023-05-15 00:00:00+01:00,8410.39,3.0,20.697084,28.082499,15.7325,48518.39,0.0,32.623226
2023-05-16 00:00:00+01:00,11038.15,63.0,19.947084,23.9825,16.8825,48583.89,9.0,25.630886
2023-05-17 00:00:00+01:00,13053.81,51.0,19.549166,24.4825,15.7825,48647.703,0.1,33.121956
2023-05-18 00:00:00+01:00,9387.68,51.0,20.047083,25.682499,15.4325,48709.824,0.3,31.68818
2023-05-19 00:00:00+01:00,9850.61,3.0,20.226248,25.7325,15.9325,48770.773,0.0,28.1169
2023-05-20 00:00:00+01:00,9582.81,3.0,19.53875,24.2825,15.3325,48830.59,0.0,26.564486
2023-05-21 00:00:00+01:00,9365.27,3.0,19.409582,24.082499,14.2325,48889.227,0.0,27.691935
2023-05-22 00:00:00+01:00,8219.26,3.0,19.615835,24.682499,14.6825,48946.625,0.0,27.475807
2023-05-23 00:00:00+01:00,11067.24,3.0,20.001253,24.9825,15.3325,49002.723,0.0,26.525429
2023-05-24 00:00:00+01:00,12134.87,1.0,19.617918,25.0325,13.9825,49057.465,0.0,25.9225
2023-05-25 00:00:00+01:00,9045.42,3.0,20.615833,26.9825,14.5825,49110.793,0.0,25.671307
2023-05-26 00:00:00+01:00,9995.039999999999,3.0,20.167917,25.2325,15.3325,49162.64,0.0,21.178896
2023-05-27 00:00:00+01:00,9393.6,1.0,20.678333,26.7325,14.9825,49212.953,0.0,22.039528
2023-05-28 00:00:00+01:00,10785.59,3.0,21.467916,27.832499,15.132501,49261.66,0.0,25.764534
2023-05-29 00:00:00+01:00,9996.6,3.0,21.799166,27.2825,17.3825,49308.715,0.0,25.38702
2023-05-30 00:00:00+01:00,11170.56,3.0,22.022085,28.6325,15.882501,49354.043,0.0,33.46645
2023-05-31 00:00:00+01:00,8812.9,3.0,21.145002,26.932499,16.1325,49397.59,0.0,26.712873
2023-06-01 00:00:00+01:00,7651.72,0.0,21.53875,27.182499,16.432499,49439.29,0.0,24.490585
2023-06-02 00:00:00+01:00,9061.8,3.0,22.46375,26.932499,17.932499,49479.086,0.0,23.977188
2023-06-03 00:00:00+01:00,11196.3,51.0,22.803335,26.9825,18.7825,49516.906,0.4,26.785547
2023-06-04 00:00:00+01:00,8314.75,3.0,23.222084,28.2825,19.082499,49552.695,0.0,25.772078
2023-06-05 00:00:00+01:00,9300.17,3.0,23.338747,29.9825,17.832499,49586.395,0.0,24.26998
2023-06-06 00:00:00+01:00,12941.7,3.0,24.16375,29.082499,19.2325,49617.934,0.0,28.802248
2023-06-07 00:00:00+01:00,11701.73,3.0,24.97625,29.4825,21.7325,49647.3,0.0,36.702347
2023-06-08 00:00:00+01:00,9934.84,3.0,24.111666,27.3825,21.8825,49674.742,0.0,27.558228
2023-06-09 00:00:00+01:00,12168.22,3.0,22.957497,28.182499,17.682499,49700.285,0.0,23.993399
2023-06-10 00:00:00+01:00,9090.51,2.0,22.888748,28.682499,17.332499,49723.926,0.0,27.276978
2023-06-11 00:00:00+01:00,9231.06,2.0,23.005417,28.3825,17.2325,49745.645,0.0,27.103
2023-06-12 00:00:00+01:00,8675.02,1.0,23.2575,28.7325,17.7325,49765.42,0.0,31.63087
2023-06-13 00:00:00+01:00,9303.81,2.0,23.32625,28.0325,18.7325,49783.246,0.0,30.978832
2023-06-14 00:00:00+01:00,8352.55,3.0,23.361666,28.7825,18.3825,49799.098,0.0,29.179993
2023-06-15 00:00:00+01:00,7797.41,3.0,23.763748,28.932499,19.682499,49812.965,0.0,26.932714
2023-06-16 00:00:00+01:00,8565.06,3.0,23.374166,29.682499,17.082499,49824.84,0.0,28.202042
2023-06-17 00:00:00+01:00,7961.94,3.0,23.9825,30.9825,18.7825,49834.703,0.0,28.73242
2023-06-18 00:00:00+01:00,8326.6,3.0,23.415834,28.2825,19.4825,49842.54,0.0,25.620771
2023-06-19 00:00:00+01:00,7991.03,3.0,23.286667,28.082499,18.2825,49848.344,0.0,24.149532
2023-06-20 00:00:00+01:00,8522.55,51.0,23.563745,29.182499,18.832499,49852.105,0.1,23.686249
2023-06-21 00:00:00+01:00,6524.51,1.0,24.084581,30.0325,18.582499,49853.812,0.0,27.362366
2023-06-22 00:00:00+01:00,9506.98,2.0,24.63458,31.182499,19.1325,49853.453,0.0,30.574575
2023-06-23 00:00:00+01:00,9379.37,1.0,24.292913,30.7325,19.0325,49851.023,0.0,29.381382
2023-06-24 00:00:00+01:00,7213.82,3.0,23.645002,28.4825,19.332499,49846.516,0.0,30.009838
2023-06-25 00:00:00+01:00,7952.78,51.0,24.078331,29.7325,20.432499,49839.918,0.1,26.729847
2023-06-26 00:00:00+01:00,6497.06,3.0,23.807497,29.082499,20.082499,49831.227,0.0,23.452555
2023-06-27 00:00:00+01:00,6657.01,3.0,24.617918,30.7325,20.432499,49820.42,0.0,24.967497
